Card_id,Ssn,Bname,Address,Phone
ID000001,850-47-3740,MARK MORGAN,5677 Coolidge Street,(469) 904-1438
ID000002,256-95-4382,ERIC WARREN,9062 Schurz Drive,(214) 701-8127
ID000003,256-51-5268,ROBERT HARPER,7786 Sachs Place,(214) 875-5911
ID000004,976-95-2914,DONNA FRANKLIN,3 Magdeline Terrace,(214) 800-6127
ID000005,906-63-3588,LINDA KING,41260 Kedzie Terrace,(469) 213-2549
ID000006,206-26-7141,JUDY HOLMES,6583 Manitowish Hill,(972) 898-5909
ID000007,898-61-3567,DEBORAH LAWRENCE,2 Hermina Trail,(972) 900-2951
ID000008,644-25-0492,ADAM JOHNSTON,05671 Norway Maple Court,(469) 743-0176
ID000009,678-12-4697,PAMELA CARR,1848 Fordem Avenue,(972) 247-9852
ID000010,562-33-7951,DANIEL FISHER,400 Cody Lane,(214) 891-7743
ID000011,441-90-7753,STEPHEN FIELDS,99 Fair Oaks Drive,(214) 801-3069
ID000012,305-53-3736,WALTER FERGUSON,814 Sutteridge Point,(469) 945-8172
ID000013,634-61-6311,PAUL COOK,58295 Pierstorff Pass,(469) 932-0168
ID000014,661-24-6360,ROY SMITH,563 Fairview Park,(214) 911-4724
ID000015,350-83-8412,MICHELLE GARDNER,28309 Paget Court,(469) 974-2681
ID000016,439-75-5475,GEORGE POWELL,31 Clove Crossing,(972) 885-7291
ID000017,431-61-5822,NICHOLAS HUDSON,29 Esker Trail,(469) 698-4000
ID000018,879-82-7179,LINDA HENDERSON,117 Katie Center,(469) 997-0832
ID000019,484-96-1826,GREGORY FOWLER,42454 Hermina Plaza,(214) 936-8301
ID000020,562-52-7080,CAROL SANDERS,99600 Moland Way,(214) 762-1061
ID000021,876-61-5170,MARK HAMILTON,76425 Dixon Hill,(972) 802-7903
ID000022,139-71-1123,ANTHONY BROWN,8691 Walton Terrace,(972) 947-3376
ID000023,239-16-6210,JAMES RIVERA,4 Golden Leaf Trail,(214) 761-8129
ID000024,283-06-7717,TAMMY COLE,22 Atwood Parkway,(469) 292-1882
ID000025,371-60-9878,DONALD BOWMAN,196 Golf View Terrace,(214) 956-6083
ID000026,438-78-7652,SUSAN GOMEZ,601 Warbler Point,(972) 877-1341
ID000027,893-37-1519,JUAN MARTIN,846 Johnson Circle,(214) 828-5694
ID000028,434-92-5388,SAMUEL BAILEY,1367 Northport Drive,(972) 972-2250
ID000029,444-50-9807,PAUL WHITE,24775 Melvin Place,(469) 459-4087
ID000030,557-41-0386,GREGORY CLARK,259 Porter Avenue,(972) 979-5771
ID000031,123-99-1439,STEVEN WOOD,852 Darwin Alley,(214) 984-2801
ID000032,507-26-2481,JESSICA FULLER,975 Carpenter Parkway,(972) 956-5055
ID000033,258-33-5117,DONNA GREENE,86 Delladonna Lane,(469) 969-6535
ID000034,876-94-4518,EDWARD FORD,34 Fulton Circle,(214) 869-1555
ID000035,153-20-8011,STEVE TORRES,781 Loeprich Alley,(469) 964-7789
ID000036,881-79-3670,ALICE RIVERA,79 Dayton Center,(214) 841-3416
ID000037,878-61-5560,JESSICA FREEMAN,27997 Loftsgordon Lane,(214) 835-4205
ID000038,728-84-4113,KENNETH HARRISON,25074 Holmberg Park,(972) 774-1504
ID000039,792-17-4540,BETTY AUSTIN,4 Schmedeman Terrace,(972) 927-7561
ID000040,433-05-3698,IRENE GONZALEZ,820 Oxford Crossing,(214) 865-5203
ID000041,132-21-3747,CHARLES FOSTER,850 Summerview Crossing,(469) 910-6688
ID000042,457-93-9804,GREGORY PEREZ,57 Bluejay Pass,(972) 433-8549
ID000043,906-16-1095,JOSE STONE,93 Waywood Parkway,(972) 991-8017
ID000044,882-36-6316,PATRICK MOORE,78 Crest Line Road,(214) 950-2446
ID000045,728-96-3473,LOUIS LYNCH,12197 Kinsman Center,(469) 820-4208
ID000046,377-44-1238,MATTHEW SNYDER,169 Mayfield Park,(469) 855-5018
ID000047,582-62-7069,SARA WAGNER,24827 Twin Pines Junction,(469) 914-5869
ID000048,577-82-2947,LOUISE LONG,6 Haas Center,(214) 939-0517
ID000049,216-53-6968,JUDY HAMILTON,65364 Mosinee Center,(972) 847-2849
